x,W,c,g,p,q,Fs,Mb,Fs_nomoon,Mb_nomoon
76.946667,0.750000,2.500000,3.250000,3.173293,-0.076707,-15.053870,1063.517546,-15.706737,1060.881386
76.995000,0.750000,2.500000,3.250000,3.172794,-0.077206,-15.057590,1062.789852,-15.711969,1060.122101
77.043333,0.750000,2.500000,3.250000,3.172294,-0.077706,-15.061334,1062.061978,-15.717226,1059.362562
77.091667,0.750000,2.500000,3.250000,3.171794,-0.078206,-15.065102,1061.333923,-15.722509,1058.602768
77.140000,0.750000,2.500000,3.250000,3.171294,-0.078706,-15.068894,1060.605684,-15.727817,1057.842719
77.188333,0.750000,2.500000,3.250000,3.170795,-0.079205,-15.072710,1059.877262,-15.733150,1057.082412
77.236667,0.750000,2.500000,3.250000,3.170295,-0.079705,-15.076550,1059.148655,-15.738509,1056.321847
77.285000,0.750000,2.500000,3.250000,3.169795,-0.080205,-15.080415,1058.419862,-15.743894,1055.561022
77.333333,0.750000,2.500000,3.250000,3.169295,-0.080705,-15.084303,1057.690881,-15.749305,1054.799937
77.381667,0.750000,2.500000,3.250000,3.168796,-0.081204,-15.088216,1056.961712,-15.754740,1054.038589
77.430000,0.750000,2.500000,3.250000,3.168296,-0.081704,-15.092153,1056.232353,-15.760202,1053.276978
77.478333,0.750000,2.500000,3.250000,3.167796,-0.082204,-15.096114,1055.502803,-15.765689,1052.515102
77.526667,0.750000,2.500000,3.250000,3.167296,-0.082704,-15.100099,1054.773062,-15.771201,1051.752961
77.575000,0.750000,2.500000,3.250000,3.166796,-0.083204,-15.104109,1054.043127,-15.776739,1050.990552
77.623333,0.750000,2.500000,3.250000,3.166297,-0.083703,-15.108142,1053.312997,-15.782302,1050.227875
77.671667,0.750000,2.500000,3.250000,3.165797,-0.084203,-15.112200,1052.582672,-15.787892,1049.464929
77.720000,0.750000,2.500000,3.250000,3.165297,-0.084703,-15.116282,1051.852151,-15.793506,1048.701712
77.768333,0.750000,2.500000,3.250000,3.164797,-0.085203,-15.120388,1051.121431,-15.799146,1047.938223
77.816667,0.750000,2.500000,3.250000,3.164298,-0.085702,-15.124518,1050.390512,-15.804812,1047.174460
77.865000,0.750000,2.500000,3.250000,3.163798,-0.086202,-15.128673,1049.659394,-15.810503,1046.410424
77.913333,0.750000,2.500000,3.250000,3.163298,-0.086702,-15.132851,1048.928073,-15.816220,1045.646111
77.961667,0.750000,2.500000,3.250000,3.162798,-0.087202,-15.137054,1048.196551,-15.821962,1044.881522
78.010000,0.750000,2.500000,3.250000,3.162299,-0.087701,-15.141281,1047.464824,-15.827730,1044.116654
78.058333,0.750000,2.500000,3.250000,3.161799,-0.088201,-15.145532,1046.732893,-15.833523,1043.351507
78.106667,0.750000,2.500000,3.250000,3.161299,-0.088701,-15.149807,1046.000756,-15.839342,1042.586080
78.155000,0.750000,2.500000,3.250000,3.160799,-0.089201,-15.154106,1045.268411,-15.845187,1041.820370
78.203333,0.750000,2.500000,3.250000,3.160299,-0.089701,-15.158430,1044.535858,-15.851057,1041.054378
78.251667,0.750000,2.500000,3.250000,3.159800,-0.090200,-15.162777,1043.803096,-15.856952,1040.288101
78.300000,0.750000,2.500000,3.250000,3.159300,-0.090700,-15.167149,1043.070123,-15.862873,1039.521538
78.348333,0.750000,2.500000,3.250000,3.158800,-0.091200,-15.171545,1042.336937,-15.868820,1038.754689
78.396667,0.750000,2.500000,3.250000,3.158300,-0.091700,-15.175965,1041.603539,-15.874792,1037.987552
78.445000,0.750000,2.500000,3.250000,3.157801,-0.092199,-15.180409,1040.869927,-15.880790,1037.220125
78.493333,0.750000,2.500000,3.250000,3.157301,-0.092699,-15.184877,1040.136099,-15.886813,1036.452408
78.541667,0.750000,2.500000,3.250000,3.156801,-0.093199,-15.189370,1039.402055,-15.892862,1035.684399
78.590000,0.750000,2.500000,3.250000,3.156301,-0.093699,-15.193887,1038.667793,-15.898936,1034.916098
78.638333,0.750000,2.500000,3.250000,3.155802,-0.094198,-15.198428,1037.933312,-15.905036,1034.147502
78.686667,0.750000,2.500000,3.250000,3.155302,-0.094698,-15.202993,1037.198611,-15.911161,1033.378610
78.735000,0.750000,2.500000,3.250000,3.154802,-0.095198,-15.207582,1036.463689,-15.917312,1032.609422
78.783333,0.750000,2.500000,3.250000,3.154302,-0.095698,-15.212195,1035.728544,-15.923488,1031.839936
78.831667,0.750000,2.500000,3.250000,3.153802,-0.096198,-15.216832,1034.993176,-15.929690,1031.070151
78.880000,0.750000,2.500000,3.250000,3.153303,-0.096697,-15.221494,1034.257583,-15.935918,1030.300065
78.928333,0.750000,2.500000,3.250000,3.152803,-0.097197,-15.226180,1033.521764,-15.942171,1029.529678
78.976667,0.750000,2.500000,3.250000,3.152303,-0.097697,-15.230890,1032.785718,-15.948449,1028.758988
79.025000,0.750000,2.500000,3.250000,3.151803,-0.098197,-15.235624,1032.049444,-15.954754,1027.987994
79.073333,0.750000,2.500000,3.250000,3.151304,-0.098696,-15.240382,1031.312941,-15.961083,1027.216695
79.121667,0.750000,2.500000,3.250000,3.150804,-0.099196,-15.245165,1030.576207,-15.967438,1026.445089
79.170000,0.750000,2.500000,3.250000,3.150304,-0.099696,-15.249971,1029.839241,-15.973819,1025.673175
79.218333,0.750000,2.500000,3.250000,3.149804,-0.100196,-15.254802,1029.102042,-15.980226,1024.900952
79.266667,0.750000,2.500000,3.250000,3.149305,-0.100695,-15.259657,1028.364610,-15.986657,1024.128419
79.315000,0.750000,2.500000,3.250000,3.148805,-0.101195,-15.264536,1027.626942,-15.993115,1023.355575
79.363333,0.750000,2.500000,3.250000,3.148305,-0.101695,-15.269439,1026.889037,-15.999598,1022.582418
79.411667,0.750000,2.500000,3.250000,3.147805,-0.102195,-15.274366,1026.150895,-16.006106,1021.808946
79.460000,0.750000,2.500000,3.250000,3.147306,-0.102694,-15.279318,1025.412515,-16.012640,1021.035160
79.508333,0.750000,2.500000,3.250000,3.146806,-0.103194,-15.284293,1024.673894,-16.019200,1020.261057
79.556667,0.750000,2.500000,3.250000,3.146306,-0.103694,-15.289293,1023.935032,-16.025785,1019.486637
79.605000,0.750000,2.500000,3.250000,3.145806,-0.104194,-15.294317,1023.195928,-16.032395,1018.711898
